First name,Last name,Department,Sample ID,E-mail address,Transaction type
a,b,c,e,d
a,b,c,e,d
a,b,c,e,d
a,b,c,e,d,Sign out sample
a,b,c,e,d,Sign out
atc,,,,,
Diego,Mora,Medicine,123456789,jdmora_90@hotmail.com,Sign out
Diego,Mora,Bio,123445676,jdmora_90@hotmail.com,Sign out
a,l,abc,12233445566,aa@gmail.com,Sign out
Ali,Mahmood,MedSci,252648841573,test@test.com,Sign out
Ali,Mah,Some,252648841573,57571515,UHN Test 2,,test@test.ca,Sign out
Ali,Test,Test,test1,test@test.ca,Sign out
Ali,Test,Test,252648841573,test@test.ca,Sign out
Ali,Test,Test,98183737191936,test@test.ca,Sign out
